date,actual,fitted,residuals,outlier
2023-05-10,1.3341801016122,1.7920555963530358,0.4578754947408359,True
2023-10-03,1.44827276769725,2.073303198689532,0.6250304309922821,True
2023-10-23,1.34723794535623,1.7930581776216057,0.4458202322653756,True
2023-12-11,2.08993749049525,2.8730428112885105,0.7831053207932603,True
2024-03-14,1.08834521538639,1.5417729394992694,0.45342772411287935,True
2024-04-05,1.42182355452547,2.0040250254873255,0.5822014709618555,True
2024-06-05,1.30951701719571,1.9166973150024553,0.6071802978067452,True
2024-09-26,1.38342594770654,2.0263532047585864,0.6429272570520466,True
2024-11-24,1.84737543917736,2.764532783529106,0.9171573443517459,True
2024-11-25,2.15944539762044,3.0800523011146184,0.9206069034941784,True
2024-12-02,1.95464528812839,2.615283075040667,0.660637786912277,True
2025-01-07,2.17354479472523,2.7206361840700346,0.5470913893448042,True
2025-01-16,1.70652251013654,2.1961423229659576,0.4896198128294176,True
2025-01-31,2.17851224447806,3.1832701216390853,1.0047578771610253,True
2025-02-16,1.6839894528012,2.2979185703748044,0.6139291175736041,True
2025-02-17,1.90310977144014,2.4666327203985503,0.5635229489584106,True
2025-02-18,2.20391320609805,2.900675702878115,0.6967624967800647,True
2025-03-04,1.52356262424916,2.011020437672966,0.4874578134238061,True
